#TYPE System.Management.Automation.PSCustomObject
"Name","PathName","Hash","DateAdded"
"","","0202FBCCD44A92E3A8205123B2D4E8D8","9/11/2013"
"vsodscpl.dll","C:\Program Files\McAfee\VirusScan Enterprise\vsodscpl.dll","0204AD6879C8124162FBC1B6A381BA36","8/30/2013"
"","","02062C0B390B7729EDC9E69C680A6F3C","9/11/2013"
"","","02071D207A9858FBE3A48CBFD59C4A04","9/11/2013"
"","","020873476E239F0A3B4F118E3590BB31","9/11/2013"
"","","021287C2050FD5DB4A8B084E2C38139C","9/11/2013"
"Passwdrenew","C:\Windows\System32\rnpasswd.exe","0216AF893B002B3596A953B106DD354D","8/30/2013"
"","","0217679B8FCA58714C3BF2726D2CA84E","9/11/2013"
"MegaIDE","C:\WINDOWS\system32\drivers\MegaIDE.sys","021B8F9A7CDF9D854D75D0CE614ABA6F","10/24/2013"
"","","0225629DE70615904F79D33DE0893C34","9/11/2013"
"","","02274978ECD6A171D4E34A3CA620976B","9/11/2013"
"","","022DB38BECB5A44DA6F7E27923457624","9/11/2013"
"","","023707D932BA31314210E6844D33D500","9/11/2013"
"","","024352FEEC9042260BB4CFB4D79A206B","9/11/2013"
"","","024E1B5CAC09731E4D868E64DBFB4AB0","9/11/2013"
"","","024E7D7368B137238EAECE93AAEA0B5A","9/11/2013"
"unidrv.dll","C:\Windows\system32\spool\DRIVERS\W32X86\3\unidrv.dll","025450D4E6EB2177121C66662EBE897A","9/27/2013"
"","","026AD965994AD0C1D384B584C9B424B5","9/11/2013"
"ACWIZRC.DLL","C:\Program Files\Microsoft Office\Office14\1033\ACWIZRC.DLL","02737E29AEEEB71E334F10C9AAB81A82","9/27/2013"
"","","0275B6E956756CB03C5C8F2080E26150","9/11/2013"
"bitsprx4.dll","C:\Windows\system32\bitsprx4.dll","027ABB12C83BC3239FC1ADE771282327","7/25/2013"
"","","028451ADEA8015E82BD48A6BE0450721","9/11/2013"
"","","0284C94FC495D8D08DF24C18994C1662","9/11/2013"
"","","0286C4A880C825879DC7E3A1C0237BE9","9/11/2013"
"","","028EB25DF38EA2C3B1B0EA05EB71DAC2","9/11/2013"
"","","02914F1F1C67A75B0B9AD046ECF58BE2","9/11/2013"
"","","0294D18731AC05DA80132CE88F8A876B","9/11/2013"
"","","0298AC45D0EFFFB2DB4BAA7DD186E7BF","9/11/2013"
"","","029A01307F7720D70B2049DE39A7726B","9/11/2013"
"","","029BC0A531CEFEDEE9A46BC260FCADE0","9/11/2013"
"hccutils.DLL","C:\Windows\System32\hccutils.DLL","02A42D3550FADA69A79B876C771EF705","9/27/2013"
"","","02AA01B0876816BC49B12A36E32A457F","9/11/2013"
"netvsc","C:\Windows\system32\DRIVERS\netvsc60.sys","02B15F227A075DDE79EEB6E265DB0BAF","9/27/2013"
"","","02B51443AB35000B124A4B4E33DF95C8","9/11/2013"
"msprivs.DLL","C:\windows\system32\msprivs.DLL","02B64609F865A39365FF88580DF11738","7/25/2013"
"","","02BC610CC90CA5415EB2C9409E77D583","9/11/2013"
"MMASS-MASTER_WGT_CAL.vshost.exe","C:\Users\Kevin.R.Smith\Documents\Visual Studio 2010\Projects\MMASS-MASTER_WGT_CAL\MMASS-MASTER_WGT_CAL\bin\Debug\MMASS-MASTER_WGT_CAL.vshost.exe","02BE6D33B1EDBC61C79882D3F556BD8A","9/27/2013"
"mxsdd.dll","C:\Program Files\National Instruments\MAX\Data Dictionaries\mxsdd.dll","02C3BBEDCEA208FA651C4D6A3C6EEDD7","9/27/2013"
"FDATE.DLL","C:\PROGRA~1\COMMON~1\MICROS~1\SMARTT~1\FDATE.DLL","02CBC376B6E3EC9398FB044605EB9B9A","9/27/2013"
"","","02CF580510234E519736559A7F19EA20","9/11/2013"
"","","02D0EFABB5B71005143C320DAF7A0515","9/11/2013"
"","","02D4548E01D18CBF951FE12E48330F59","9/11/2013"
"","","02D869562E114DB8867271992408BB2D","9/11/2013"
"mxdwdui.DLL","C:\Windows\system32\spool\DRIVERS\x64\3\mxdwdui.DLL","02DAB5998E18C2EA4D1BD57AB57C3B94","8/3/2013"
"","","02DD601B708DD0667E1331FA8518E9FF","9/11/2013"
"","","02DDC8B36926A760E2D7EDCCEB828E42","9/11/2013"
"","","02DFA7B8D281B10B612B86BD0580BEA7","9/11/2013"
"","","02E20372D9D6D28E37BA9704EDC90B67","9/11/2013"
"circlass","C:\Windows\system32\drivers\circlass.sys","02EA568D498BBDD4BA55BF3FCE34D456","9/27/2013"
"NVXDBat.dll","C:\Program Files\NVIDIA Corporation\Display\NVXDBat.dll","02FB307919B77648841C9569FDC55B1A","9/27/2013"
"ACEES.DLL","C:\Program Files\Common Files\Microsoft Shared\OFFICE14\ACEES.DLL","02FEE4AB4EB8EFE959F4D68EEDA4D9C9","9/27/2013"
"","","0301907F2B96B5C5778EBBB5308ED6BC","9/11/2013"
"","","03074C897D7682E3A51700B2584840FA","9/11/2013"
"","","0308AEF61941E4AF478FA1A0F83812F5","9/11/2013"
"","","030B778F4272DF185E4E2E8EC49D162E","9/11/2013"
"","","031D7EA82EC111F9B15B63F2EF1DEE8D","9/11/2013"
"","","0320FD91FB5ED4298355977CECFC0EB4","9/11/2013"
"","","0327723D45A7BB7C1FE4835EB784AC61","9/11/2013"
"","","03283697B9CD8CC368845DB1833E1B74","9/11/2013"
"","","0328BE1C7F1CBA23848179F8762E391C","9/11/2013"
"","","032B0D36AD92B582D869879F5AF5B928","9/11/2013"
"","","0333E399831908F281AC323DD213FD49","9/11/2013"
"FontSub.dll","C:\Windows\system32\FontSub.dll","0333ED5E203B6DBE909AC06EA52757D0","8/30/2013"
"","","033448D435E65C4BD72E70521FD05C76","9/11/2013"
"","","0336CFFAFAAB87A11541F1CF1594B2B2","9/11/2013"
"","","033909BBEE8D968CC814CDF6580AF860","9/11/2013"
"DVTrayApp.exe","C:\Program Files\Tumbleweed\Desktop Validator\DVTrayApp.exe","0339C51CDD59F564F4693F14DFC6C66D","7/25/2013"
"","","033FF248550305ED52ED2D2844A8A11B","9/11/2013"
"","C:\Windows\system32\netprof.dll","0341CB05512AA87BB64A834DE6264C34","9/27/2013"
"NativeMethods.dll","C:\Program Files\Microsoft System Center 2012\Virtual Machine Manager\Bin\NativeMethods.dll","035C7C73ED9358548C809570B4E96474","9/27/2013"
"","","035E6D46B75F4B71BE56D285A991ACDB","9/11/2013"
"nssutil3.dll","C:\Local\Apps\FirefoxPortable\App\firefox\nssutil3.dll","035FFBD0851E410C24B6C1DB4E21CF19","9/27/2013"
"wiatrace.dll","C:\windows\system32\wiatrace.dll","0364256B4A2A93A8C8CDA6B3B5A0EFF5","7/25/2013"
